doc_id,text
1,secret taking political establishment money running attack ads iowa people grassroots movement prevail
2,scared happen scared happen don’t
3,crisis national rent control
4,detroit rep
5,we’re days iowa
6,time austerity families austerity billionaire class
7,democracy planet afford trump election lives winning join live town hall conway nh
8,rep
9,wow exeter coming cold day movement win hampshire primary phones knock doors sign
10,days trump republican party attacking campaign dangerous president history nervous join
11,honored speak seacoast women’s march portsmouth hampshire join thousands people marching country bring people fight justice equality
12,trump administration abandoned puerto rico wake hurricane maria stand people puerto rico administration rebuild island prevent terrible tragedies
13,campaign defeating trump electing bernie sanders president creating unprecedented movement justice country join
14,executive reverse single president trump demonize harm immigrants including racist disgusting muslim ban
15,ago
16,refuse accept economy generations lower standard living parents america build economy wealthy massive corporations
17,million people live poverty american people deserve hear candidates confront moral crisis stand
18,white house stop fighting justice equality women join live portsmouth nh
19,donald trump privatize postal service threaten jobs absolutely happen i’m proud stand postal workers local fight strengthen usps protect jobs post offices provide basic banking services
20,democracy means person vote view minimum wage amount political influence multibillionaire
21,country track bernie leader bernie refuses money corporate power jeffrey sachs columbia university professor adviser
22,class warfare drug companies raising price insulin poor diabetics afford live rich trillion tax breaks people thrown food stamps medicaid
23,decision abortion woman doctor extremist politicians control womens bodies stop fighting protect constitutional abortion
24,let’s rigging donald trump’s action power federal government political benefit impeachment trial democrats unite sweep white house november
25,parents childcare struggling pay rent buy food children head start life finally guarantee universal quality affordable childcare country
26,shouldnt lose health insurance lose job shouldnt lose health insurance divorced shouldnt lose health insurance lose health insurance medicare
27,americans paying incomes health care guts insurance drug companies wont easy
28,criminalization marijuana disaster legalize expunge past convictions invest communities destroyed war drugs
29,american people sick tired profitable corporations amazon motors eli lilly delta billions profits paying federal income taxes ive pay fair share
30,americans vote fundamental
31,evelyn yang incredibly brave speaking sharing heartbreaking story eradicate sexual assault country hold perpetrators accountable
32,campaign proposed eliminating outstanding medical debt unconscionable america punish people crime sick outrageous debt bankruptcy
33,disgrace racist unconstitutional efforts deny people vote american citizen vote discussion
34,american people sick tired government corporate elite wealthy campaign donors change join live campaign headquarters
35,sacrifices afford health insurance
36,im proud stand brave janitors
37,endless wars
38,dont live society people refuse ambulance afford medicare
39,win primary defeat trump youve waiting time join movement time sign
40,tens thousands americans die dont health care american people angry
41,cancel student debt tax wall street pay
42,candidates opposing trumps trade deal sen
43,surprise corporate wing democratic party called existential threat attacking agenda fighting people popular threatens corporate elites fill pockets we’re nervous
44,top increased wealth trillion half people living paycheck paycheck american people angry
45,i’m proud
46,ago educators parents students community picket line fight education people shoulder shoulder
47,day ago allied forces liberated auschwitz birkenau death camp scene horrific mass atrocity genocide history remember lessons dark days acknowledge danger letting hate anti semitism fester
48,wall street hates drug companies hate insurance companies hate fossil fuel industry hates military industrial complex hates hates greed corruption win
49,time time trump failed people puerto rico stop treating puerto rico colony start treating people puerto rico respect dignity deserve puerto rico rebuild
50,dont spend time mansions talking dollar donors campaign closed doors campaign update donors supporters join live
51,i’ll live tonight pm update path victory campaign bringing millions peple transform country watch live
52,standing fossil fuel industry standing pharma standing crooks wall street standing nra win
53,remain committed continuing progressive movement women black white gay straight message unity janeosanders
54,snow plow drivers difficult dangerous leaving families day night roads safe
55,im feeling pretty energized million calls calls voters position win primary complete political revolution
56,congratulations virginia historic moment overdue fight womens rights stop equal access health care equal pay equal rights reality woman america
57,donald trump attacking campaign strongest campaign defeat
58,father america nickel speaking english grew proudest american trumps policy disgraceful america defeat demonization immigrants poor
59,leader stands people front people listening bernie sanders front line ready listen adilka pimentel
60,it’s honor endorsement
61,time create america chip amount support campaign demdebate
62,moment moment courage greed corruption corporate elite demdebate
63,fossil fuel industry lies short term profits future planet green deal demdebate
64,giving tax breaks billionaires telling moms dads country afford universal childcare demdebate
65,medicare premiums medicare deductibles medicare pays quality care people afford demdebate
66,we’ve talked health care country time greed insurance companies provide health care person america won’t easy demdebate
67,medicare cost substantially status quo demdebate
68,future planet profits fossil fuel industry
69,sick tired trade agreements negotiated ceos corporations demdebate
70,trump led trade deal phrase climate change demdebate
71,infrastructure crumbling half people live paycheck paycheck million uninsured underinsured homeless american people sick tired endless wars cost trillions dollars demdebate
72,war iraq worst foreign policy blunder country voted war prevent war joe biden demdebate
73,voted led effort war iraq helped lead effort pass war powers resolution support war yemen create world solve negotiating table military conflicts demdebate
74,wrote damn bill demdebate
75,billionaires money people beat trump beat badly
76,i’m proud fought protect expand social security president continue
77,congratulations
78,presidents talked guarantee health care time health care medicare
79,cuts social security
80,momentum movement win stand eye prize accomplish join live iowa city bernie iowa chair
81,stand miners paid earned abandon coal workers fossil fuel dependent communities transition clean energy system ensure transition
82,proud fought career protect social security disastrous cuts expand people retire dignity
83,record joe bidens record dont bidens record bring energy defeat trump
84,richest country earth reason public educational system world
85,son class stood fought families life
86,build immigration system based justice fear
87,trump republicans attacking days words dangerous president modern american history nervous
88,campaign lifting voices struggles power people white house double union membership workers alex fighting unions seiu
89,workers cannabis industry deserve respect fair wages encourage cresco labs workers joliet vote union tuesday president lead fight double union membership country
90,week tens thousands teachers florida rallying demand real support public schools proud stand struggle underfunding privatization draconian stakes testing
91,people protest fear violence call iranian government respect iranian peoples future determine stand seek future peace dignity equality
92,campaign political movement real change takes top change takes bottom
93,means world bernie’s that’s history he’s guy beat trump
94,federal jobs guarantee president larry david job
95,politicians climate change real it’s they’re lying it’s they’re rejecting science children future generations
96,i’m honored receive
97,freedom jobs survive time real freedom include living wage economic security
98,seniors live dignity theyre survive social security benefits bad news cut social security cut social security benefits expand
99,fossil fuel industrys short term profits future planet join live iowa city rally green deal
100,means you’re lose
101,save planet courage fossil fuel industry wall streets endless greed offshore drilling stop pipeline projects ban fracking stop exports liquefied natural gas crude oil
102,single financial establishment country win election fight sorely mistaken contribution campaign win primary
103,al johnson spread peace stand oppressed honor al nashua community knocked doors yesterday campaign dedicated nashua office
104,days iowa caucus time rolling trip campaign win essential sign
