Topic,Sub-Topic,Response
Criminal Justice,Capital Punishment/Death Penalty,Abolish it
Criminal Justice,Cash Bail Reform,End it
Criminal Justice,Cocaine Sentencing Disparities,Scrap the disparity
Criminal Justice,Mandatory Minimum Sentences Reform,Eliminate them
Criminal Justice,Private Prisons,Eliminate them
Cybersecurity,Election Security,Mandate paper ballots
Economy,Affordable Housing,"Construction funding, rent control and taxes to curb speculation"
Economy,Big Banks,Bring back Glass-Steagall
Economy,Income Inequality,"Raise taxes on the wealthy, create new social programs"
Economy,Minimum Wage,Raise the federal minimum wage to $15/hr
Economy,Paid Leave,Support several months of broad paid leave
Economy,Reparations,Study reparations
Education,Charter Schools,Restrict charter school growth
Education,Cost of College,College should be free
Education,Student Debt,Cancel all student debt
Education,Teacher Pay,Boost teacher pay
Elections,Campaign Finance,Unlimited spending should not be allowed in politics
Elections,Electoral College,The Electoral College should be eliminated
Elections,Felon Voting Rights,Felons should be allowed to vote while incarcerated
"Energy, Environment & Climate Change",Nuclear Power,Support closing down existing nuclear power reactors
"Energy, Environment & Climate Change",Oil and gas drilling,Ban fracking everywhere
"Energy, Environment & Climate Change",Reducing carbon emissions,Impose government regulations
Food & Agriculture,Farm Economy,Break up agribusiness
Food & Agriculture,Farming and Climate Change,Pay farmers to adopt climate-friendly practices
Food & Agriculture,Nutrition,Universal free meals in schools
Food & Agriculture,Rights for Farm Owners and Workers,"Expand farm worker protections, but no specific plans for USDA civil rights"
Gun Control,Assault Weapons,Support a voluntary buyback program
Gun Control,Background Checks,In favor of universal background checks
Health Care,Abortion,"Few limits, if any"
Health Care,ACA/Coverage Expansion,All in on Medicare for All
Health Care,Drug Costs,Importation and patent breaking
Health Care,Medicare For All,Medicare for All or bust
Immigration,DACA,Citizenship for Dreamers
Immigration,Illegal Entry,Repeal the statute
Immigration,The Wall,Don’t support additional wall funding
Infrastructure,Transportation,"Boost infrastructure spending, but no stated funding mechanism"
Marijuana & Cannabis Legalization,Legalizing Marijuana,Legalize it
Marijuana & Cannabis Legalization,Marijuana Convictions,Scrapping past pot convictions
Military,Defense Spending,Slash the defense budget
Military,Overseas Deployments,Bring the troops home
Taxes,Capital Gains Taxes,Increase the capital gains tax rate
Taxes,Corporate Income Taxes,"Eliminate tax breaks for ""offshoring."""
Taxes,Wall Street Taxes,Create taxes on financial trades
Taxes,Wealth Taxes,Create special taxes on wealth
Technology,Rural Broadband,Create a public option for broadband
Technology,Social Media,We should consider holding companies legally liable for user posts
Technology,Tech Competition & Antitrust,Break them up
Trade,China,"Support the goal, change the approach"
Trade,NAFTA/USMCA,Against the USMCA
Trade,Tariffs,Use tariffs to crack down on certain countries
Trade,TPP 2.0,Oppose joining CPTPP or opposed TPP
