doc_id,text
1,president tweets golf courses ego job healthcare schools security families future i’ll president restores decency white house
2,i’m arena job constitutional duty can’t teleport tele town hall campaign finding reach people takes job
3,bill stop pay delay deals pharma effect paying makers cheaper generic drugs products market pharma lobbyists congress washington don’t
4,change tone politics president optimistic economic agenda move country forward
5,campaign rise double digits hampshire
6,fired crowd demdebate party des moines
7,matt
8,meet people bring win win ticket progress country
9,sworn impeachment trial donald trump principle guide carrying constitutional duty america president king law king
10,ridiculous list mcconnell republicans witnesses testify gt read gao ruling trump administration broke law gt excuse i’m reading st amendment constitution gt stranglehold democracy
11,told
12,let’s talk what’s real build affordable care act pharma invest term care combat addiction address mental health
13,talented
14,republican colleagues hear john bolton bring constitution doesn’t ruling party people
15,catch tonight
16,climate crisis action denial
17,restrict press access impeachment trial period
18,i’ll forget touring closed biodiesel plant crawfordsville ia worker brought rack uniforms friends dont anymore real people hurt donald trump’s trade war ill stand farmers
19,reminder affordable care act ten popular donald trump building tearing
20,donald trump it’s health care schools lives future tired extremes politics noise nonsense home join
21,stand donald trump debate stage friends iowa midwest flyover country live demdebate
22,republican colleagues won’t witnesses impeachment trial president crown scepter time checked country founded idea didnt ruled king demdebate
23,colleagues free college aren’t thinking we’re shortage plumbers mbas money free degrees doubling pell grants sending rich kids college demdebate
24,pharma lobbyists congress washington dont medicare allowed negotiate lower drug prices president ill american people demdebate
25,momentum continues endorsement hampshire
26,single person beaten republican opponents politics sounds pretty guy white house demdebate
27,forget plant crawfordsville iowa plant shut donald trump’s harmful trade policies giving secret waivers oil companies ruining renewable fuel standard stand farmers demdebate
28,debate stage biggest threat world iran donald trump feared what’s happening president prevent escalation demdebate
29,time time president private front country’s country’s commander chief demdebate
30,donald trump iranian nuclear agreement president agreement oath protect defend constitution
31,tune tonight’s demdebate
32,win election it’s personal victory tally it’s victory it’s victory country it’s bring
33,legendary fighter iowa senator
34,nominee understands top ticket means leading ticket victory don’t win win
35,abigail forward debate tonight
36,yesterday hear witnesses happened title john bolton’s book
37,russia launched sophisticated information war divide country destroy america’s confidence political system republicans refuse election security legislation unacceptable
38,couldnt britta
39,nevada coalition defeat donald trump i’ve won race ive run purple double digit margins bring people candidate top ticket shut
40,cross river divides country build bridges heres id president
41,lot talk woman beat donald trump debate stage nancy pelosi day campaign rise join
42,miss friend cory booker campaign trail friends started friends cory stops standing
43,daughter abigail mapped travels iowa launched campaign ago youll
44,lynn knocking doors snow
45,people peacefully protest country including iran
46,crowd sunday perry iowa we’re days iowa caucus democrats fired winning fight decency country let’s
47,holocaust remembrance day marks liberation auschwitz honor million jews millions killed holocaust pledge confront anti semitism vow weremember
48,president private partisan front country donald trump claims exonerated won’t witnesses testify
49,grandfather iron ore miner teamster mom union teacher dad union newspaperman fight dignity organize it’s lift people
50,iowa county day action yesterday town hall fort dodge staff surrogates door knockers phone bankers grassroots campaign
51,don’t money don’t political machine supporters helped run campaign grassroots meeting people bringing win incredible
52,im grateful leadership
53,honored cam team president i’ll continue hard cam family american
54,month hampshire primary campaign grown started it’s grassroots supporters time involved volunteer phone bank amp vote win
55,purple sky morning purple win afternoon skol
56,i’m proud support current iowa legislators candidate race hard democracy finding common amp people serve hear
57,i’m campaign trail remind voters jurors election decency check president
58,janet means lot
59,sleet started coming ottumwa iowa didnt stop town hall
60,dinner incredible women week trailblazers dedicated lives bettering democracy
61,cedar rapids ia talking plan protect equal rights provide opportunity people disabilities president action ensure life millions americans disabilities read
62,answers questions iran administrations briefing authorization military force
63,elected senate agriculture committee i’ve led fight support farmers rural communities midwest isn’t flyover country it’s home
64,kick day action iowa’s counties tomorrow kicking ad focused people president white house
65,im announcing plan reduce term care costs caregivers financial relief enforce equal rights people disabilities read
66,election win unite party candidate history winning red purple districts bring fired democratic base independents moderate republicans receipts
67,house vote require president congress authorization military action iran step congress upholding constitutional duties moment de escalate ramping rhetoric war
68,nh primary source watch klobuchar recites
69,facebook opposed bipartisan honest ads act months blew opposed privacy leg proposals won’t ad truthfulness regulation reason president
70,science action earth posts hottest record close warmest decade
71,advice republican colleagues
72,campaign i’ve visited counties iowa team day sign join county day action virtual phone bank
73,moment allies de escalate conflict ensure safety servicemembers americans region
74,await casualty assessment tonight’s attacks vital moment response blown war iran national security allies region
75,closely monitoring happening iraq protect servicemembers americans risk
76,leader bring people leader base bring independents moderate republicans that’s i’ve race that’s it’ll beat trump win join
77,news poll iowa momentum donate
78,puerto rico fellow americans affected earthquake administration provide disaster relief delay
79,john bolton mick mulvaney robert blair michael duffey testify
80,commander chief govern sanity
81,democrats house passed hundreds bills mitch mcconnell refused act move country forward don’t beat trump house flip senate win
82,richard nixon allowed top people forward speak president trump blocking top people telling truth john bolton testify
83,threatening target cultural sites beneath values united beneath dignity president
84,meet hampshire joe
85,iran’s moving forward nuclear weapon direct result feckless foreign policy decisions president taking landmark nuclear agreement world safe feel rallies
86,trump claims tweets sufficient notice congress strike iran
87,happy birthday friend vp walter mondale wise counsel
88,night des moines heading dc impeachment hearing people understand run week trail critical week buoyed iowans
89,skol
90,randi i’m running teacher student dreamer worker farmer builder i’m running american people president stand president i’ll
91,job commander chief american people safe tweeting threats war doesn’t
92,introducing office las vegas assemblywoman
93,historic day speaker pelosi nation strong leadership
94,stop las vegas women senators women majority legislature nevada led women they’re charge join nv team
95,crowd reno
96,run don’t run run lead ticket victory it’s flipped house time led ticket mn win ballot join team volunteer
97,morning minden nevada silver starting packed house rural douglas county mountains hearts
98,announcing candidacy president we’ve covered lot ground couldn’t support journey
99,walls surprise endorsement fantastic iowa rep ross willburn
100,tonight cedar rapids ia special friends rep
101,heartbreaking unacceptable pass universal background checks reinstate assault weapons ban pass bill close boyfriend loophole time waste
102,spoke people waterloo iowa deliver message president restore sanity foreign policy lead integrity president america
103,it’s passing laws standing partisan supreme court nominees i’ve job matter hard job elect fix mess donald trump created i’m ready fight watch ad
104,win ticket congress codify roe wade law
105,im incredibly grateful grassroots supporters helped raise million quarter raised single quarter hit double digits national poll momentum
106,rep
107,tomorrow tamika montgomery reeves sworn delaware’s african american supreme court justice shattered glass ceiling democracy congratulations justice montgomery reeves
108,mom taught public school daughter public school children quality education president promise support teachers public schools
109,congratulations
110,tragedy prayers bryant family families board hug loved close
111,sioux city iowa
112,breaking duffey email direction potus continue hold aid ukraine witness testify mitch mcconnell excuse
113,grassroots campaign fueled people dominic signing volunteer phone bank sign dm dominic
114,iowa wire days left iowa caucus registering caucus precinct location time incredibly save time registering advance
115,julian brought bold vision justice equality race people speaks vulnerable he’ll continue leader fight democracy
116,climate crisis administration refuses act president power tackle head i’ll start day
117,outback bowl champions gophers rowtheboat
118,record spent days golf
119,woke beautiful hampshire announced campaign middle minnesota blizzard day brings friends ideas renewed purpose lead unite win
120,happy resolution win
121,i’ve week truth testify
122,nh town hall keene day town hall swing fired granite staters endorsement senator
123,it’s time sanity white house
124,year’s eve pm keene hampshire wait
125,donald trump false misleading claims taking office day campaign telling truth honest people youre sick lies join donate
126,nh town hall claremont honored endorsed introduced speaker pro tempore lucy weber
127,gerrymandering undermines democracy supreme court declined outlaw partisan gerrymandering introduced redistricting reform act partisan gerrymandering people political parties
128,donald trump won minnesota flipped trump counties won candidate proven ability win you’re ready win defeat donald trump donate
